Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7763157894736842,0.786864876554644,0.7763157894736842,0.7733777375443355
Random Forest,0.8157894736842105,0.8317009047424213,0.8157894736842105,0.8115329690501057
XGBoost,0.8723684210526316,0.8755740056126016,0.8723684210526316,0.8711771293200538
